loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-01-11 13:27:33.242,1,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.18371,224.8929138184,134.693862915,-637.4791259766,312.6784667969,309.4283752441,25,34635.739989875,0.0518035889,0.0049743652,-1.078994751,34635.703636375,-0.0363942268,-0.0386256895,0.0884108229,34635.698631375,-2.0760737222,0.0747772463,0.0473379404,-0.0590310767,0.0025944964,0.0991611779,-0.0398033299,0.045122996,-0.0746513605,XArbitraryCorrectedZVertical,0.0442026041,-0.0013921079,-0.8601163301,0.5081772236,0.0746238902,-0.0473202616,-0.9960883856,14.0314178467,14.818031311,-1.0369873047,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34634.931901625,0,25.81759,100.958,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:33.335,2,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.28844,225.6356506348,132.5908966064,-637.8355712891,312.1245117188,308.874420166,25,34635.840697875,0.0473480225,-0.0003356934,-0.9841461182,34635.803520375,0.0092789859,-0.0557466195,0.0821281596,34635.798545375,-2.0664199688,0.0708109804,0.0402728606,-0.014463081,-0.0261960365,0.0886481255,-0.0126957931,0.0418794081,-0.027194865,XArbitraryCorrectedZVertical,0.0407029151,0.0008383034,-0.8578698238,0.5122518281,0.0706944466,-0.0402619764,-0.9966851473,14.7741546631,12.7150650024,-1.3934326172,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34634.931901625,0,25.81759,100.958,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:33.436,3,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.39353,224.8844604492,132.4439239502,-636.4940185547,311.6394958496,308.3894042969,25,34635.941405875,0.0047607422,0.0014801025,-0.9647369385,34635.903404375,0.0677976898,-0.0442231215,0.0747179139,34635.898429375,-2.0582711973,0.0671071565,0.0401558881,0.0429951623,-0.0104288431,0.0812222436,-0.0558180511,0.0396262966,0.0221370962,XArbitraryCorrectedZVertical,0.0390841754,9.91199393516776E-005,-0.8558515196,0.5157427594,0.0670027435,-0.0401450954,-0.9969448447,14.0229644775,12.5680923462,-0.0518798828,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34634.931901625,0,25.81759,100.958,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:33.538,4,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.51316,224.8097381592,132.8191986084,-634.3966674805,311.0615234375,307.8114318848,25,34636.042143875,0.0349884033,-0.006729126,-0.9891052246,34636.003288375,0.0635371647,-0.0494892562,0.0694049075,34635.998313375,-2.0503965385,0.060562024,0.0417954527,0.0440559313,-0.0189499445,0.0780587718,-0.0464188084,0.0430497639,0.0298114587,XArbitraryCorrectedZVertical,0.0367138045,-0.0021463688,-0.8539103461,0.5191190716,0.0604721531,-0.0417832844,-0.9972949624,13.797454834,12.7189865112,2.0446777344,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34634.931901625,0,25.81759,100.958,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:33.642,5,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.61785,225.4129943848,133.7917633057,-634.0187988281,310.695892334,307.4458007813,25,34636.142851875,-0.0217895508,-0.0184936523,-0.9852905273,34636.103202375,0.0359707842,-0.0375535008,0.0427264249,34636.098197375,-2.0438236515,0.0536323833,0.0442503377,0.0218119472,-0.0059804698,0.0492478758,-0.0730396733,0.035431575,-0.0018660341,XArbitraryCorrectedZVertical,0.0344071453,-0.0048809423,-0.8522821144,0.5219267403,0.0535541996,-0.0442358963,-0.997584641,13.8758239746,13.6936569214,2.1912231445,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34634.931901625,0,25.81759,100.958,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:33.738,6,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.61785,225.4129943848,133.7917633057,-634.0187988281,310.695892334,307.4458007813,25,34636.243590875,0.0236053467,-0.0255737305,-1.0078125,34636.203086375,0.0221692182,-0.0426819502,0.0193055211,34636.198081375,-2.0397077408,0.0451986597,0.0427378292,0.0069400584,-0.0111455945,0.0268805549,-0.0761631355,0.0157015044,-0.0140031772,XArbitraryCorrectedZVertical,0.0304320223,-0.0063741287,-0.8513667243,0.5236487021,0.0451420136,-0.0427248217,-0.9980665445,13.6529541016,14.2195510864,1.6611328125,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34634.931901625,0,25.81759,100.958,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:33.839,7,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.73809,223.9915618896,134.697479248,-634.7150878906,310.44921875,307.1991271973,25,34636.344298875,-0.0320892334,-0.0215148926,-1.0123596191,34636.302970375,0.022202774,-0.0373028974,0.0075817533,34636.297965375,-2.0375747159,0.0404983508,0.0411872828,0.0006044924,-0.0015072601,0.0140684508,-0.0680255741,0.0046918741,-0.0480845645,XArbitraryCorrectedZVertical,0.0280330921,-0.0069144228,-0.8508990249,0.5245352094,0.040452946,-0.0411756374,-0.9983326793,13.4279785156,14.1454544067,1.1337280273,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34636.283036625,0,25.97844,100.956,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:33.961,8,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.84305,223.6161651611,134.3990020752,-635.9932250977,310.3496398926,307.0995483398,25,34636.445036875,-0.0125427246,-0.0360107422,-0.9823150635,34636.402854375,0.0040895502,-0.0541939966,0.0001547297,34636.397849375,-2.0362026963,0.0341246795,0.0384194477,-0.0090343347,-0.0269422662,0.0056067975,-0.0473527685,0.0152318962,-0.0064771678,XArbitraryCorrectedZVertical,0.0246012797,-0.0073909078,-0.8506598512,0.5250885345,0.0340928808,-0.0384099968,-0.9986802936,12.9805297852,14.8222579956,0.8252563477,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34636.283036625,0,25.97844,100.956,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:34.041,9,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540452.99999,30.6137973536,-96.3383375109,101.7935,5.05,324.140625,4,5,-9999,1452540453.96274,224.3665466309,134.4709777832,-636.2844848633,310.2989196777,307.048828125,25,34636.545744875,-0.0255432129,-0.0553741455,-1.0058898926,34636.502738375,0.0052341768,-0.0328836479,-0.0116116487,34636.497764375,-2.0359633634,0.0267950322,0.0363165818,-0.0121508157,-0.0077809682,-0.00403678,-0.048441641,0.0267565977,-0.0023303591,XArbitraryCorrectedZVertical,0.0209329962,-0.0084179162,-0.8507055714,0.5251580516,0.0267741606,-0.0363085978,-0.9989818931,13.5789031982,14.2198410034,-0.2147216797,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34636.283036625,0,25.97844,100.956,0.0.0.0,100.84.84.111,5,2,0.41,0
2016-01-11 13:27:34.141,10,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540453.99999,30.6138316775,-96.3383757324,101.683,4.86,319.21875,4,5,-9999,1452540454.0674,224.2892303467,133.7212982178,-636.95703125,310.3358154297,307.085723877,25,34636.646483875,-0.0560455322,-0.0459899902,-0.9817352295,34636.602622375,0.0211731959,-0.0403207915,-0.021151358,34636.597648375,-2.0368195758,0.0198795285,0.0365668967,0.0080478229,-0.015258546,-0.0135786673,-0.0150889298,0.0313555002,-0.0322227664,XArbitraryCorrectedZVertical,0.0180526046,-0.010347962,-0.8509950047,0.5247613983,0.0198649298,-0.0365587473,-0.9991340637,13.427734375,13.8454666138,-0.5148925781,2,34503.764716625,automotive,2,2016-01-11 13:25:21.285,null,0,0,0,0,null,34636.283036625,0,25.97844,100.956,0.0.0.0,100.84.84.111,5,2,0.41,0
